animation_name,category,trigger,variants_code,description,best_for,performance,complexity,notes
Fade In,Entrance,mount,"{ hidden: { opacity: 0 }, visible: { opacity: 1, transition: { duration: 0.4, ease: 'easeOut' } } }",Simple opacity fade on mount,Any element entering the DOM,Excellent,Low,Most universal entrance — use as default
Fade Up,Entrance,mount,"{ hidden: { opacity: 0, y: 24 }, visible: { opacity: 1, y: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Fades in while rising upward,Hero text, cards, sections,Excellent,Low,Use cubic bezier for premium feel
Fade Down,Entrance,mount,"{ hidden: { opacity: 0, y: -24 }, visible: { opacity: 1, y: 0, transition: { duration: 0.5, ease: 'easeOut' } } }",Fades in while falling downward,Dropdowns, navbars, tooltips,Excellent,Low,Good for elements entering from top
Fade Left,Entrance,mount,"{ hidden: { opacity: 0, x: -32 }, visible: { opacity: 1, x: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Slides in from left,Sidebars, list items, panels,Excellent,Low,Pair with staggerChildren for lists
Fade Right,Entrance,mount,"{ hidden: { opacity: 0, x: 32 }, visible: { opacity: 1, x: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Slides in from right,Off-canvas menus, detail panels,Excellent,Low,Great for split-screen layouts
Scale Up,Entrance,mount,"{ hidden: { opacity: 0, scale: 0.85 }, visible: { opacity: 1, scale: 1, transition: { duration: 0.4, ease: [0.34,1.56,0.64,1] } } }",Scales from small to full size with spring overshoot,Modals, cards, CTAs,Good,Low,The 1.56 bezier gives a micro spring bounce
Scale Down,Entrance,mount,"{ hidden: { opacity: 0, scale: 1.1 }, visible: { opacity: 1, scale: 1, transition: { duration: 0.35, ease: 'easeOut' } } }",Scales from large to normal,Hero images, background reveals,Good,Low,Creates cinematic entrance feel
Stagger List,Entrance,mount,"container: { hidden: {}, visible: { transition: { staggerChildren: 0.08, delayChildren: 0.1 } } } | item: { hidden: { opacity: 0, y: 16 }, visible: { opacity: 1, y: 0, transition: { duration: 0.4, ease: 'easeOut' } } }",Animates list items one after another,Nav menus, product grids, feature lists,Good,Medium,Use motion.ul for container and motion.li for items
Scroll Reveal,Scroll,viewport,"{ hidden: { opacity: 0, y: 40 }, visible: { opacity: 1, y: 0 } } | whileInView prop + viewport={{ once: true, amount: 0.3 }}",Triggers when element enters viewport,Section headers, content blocks, stats,Good,Low,Set once: true to avoid re-triggering
Parallax Scroll,Scroll,scroll,"useScroll + useTransform(scrollY{ [0{ 500]{ [0{ -100] })",Moves element at different scroll speed than page,Hero backgrounds, decorative elements,Good,Medium,Use will-change: transform for GPU acceleration
