pattern_name,use_case,stack,code_snippet,notes
AnimatePresence Conditional,Show/hide any element,"React/Next","<AnimatePresence>{isVisible && <motion.div initial={{opacity:0}} animate={{opacity:1}} exit={{opacity:0}}/>}</AnimatePresence>",Always wrap conditional renders — exit animations won't fire without it
AnimatePresence List,Animating list items in/out,"React","<AnimatePresence>{items.map(i => <motion.div key={i.id} layout initial={{opacity:0,y:20}} animate={{opacity:1,y:0}} exit={{opacity:0,x:-20}}/>)}</AnimatePresence>",key prop is critical — FM uses it to detect additions/removals
Layout Animation,Smooth reflow on DOM changes,"React","<motion.div layout> — add layout prop only",Add to any element that changes size/position — FM auto-animates the reflow
Shared Element Transition,Move element between views,"React/Next","<motion.div layoutId='card-123'/> — same layoutId in both views",IDs must be identical and unique — works across AnimatePresence boundaries
useScroll + useTransform,Scroll-driven animation,"React","const {scrollYProgress} = useScroll(); const y = useTransform(scrollYProgress,[0,1],[0,-200]);",Tie any motion value to scroll position — extremely powerful for parallax
useInView Hook,Trigger once in viewport,"React","const ref = useRef(); const inView = useInView(ref{once:true{amount:0.3}); return <motion.div ref={ref} animate={inView?'visible':'hidden'}/>",Cleaner than whileInView for complex conditions
Stagger Children Pattern,Sequential list entrance,"React","const container={variants:{visible:{transition:{staggerChildren:0.07}}}}; <motion.ul variants={container.variants} initial='hidden' animate='visible'>",Parent controls timing — children just define their own hidden/visible variants
Spring Config Presets,Common spring feels,"React","gentle:{type:'spring'{stiffness:120{damping:14} | snappy:{stiffness:400{damping:28} | bouncy:{type:'spring'{stiffness:300{damping:10} | smooth:{type:'spring'{stiffness:60{damping:20}}",Pick by feel: gentle=menus snappy=buttons bouncy=playful smooth=modals
Gesture Combination,Hover + tap together,"React","<motion.button whileHover={{scale:1.04{y:-2}} whileTap={{scale:0.97}} transition={{type:'spring'{stiffness:400{damping:20}}}/>",Both whileHover and whileTap can coexist — FM resolves priority automatically
Drag with Snap,Drag that snaps back,"React","<motion.div drag dragConstraints={{left:0{right:0{top:0{bottom:0}} dragElastic={0.2}/>",dragElastic controls overshoot feel — 0=rigid 1=very elastic
Page Router Transition,Next.js page transitions,"Next.js","Wrap in _app.js: <AnimatePresence mode='wait'><Component key={router.route} .../></AnimatePresence>",mode='wait' prevents two pages rendering simultaneously
Scroll Progress Bar,Reading progress indicator,"React","const {scrollYProgress}=useScroll(); <motion.div style={{scaleX:scrollYProgress{transformOrigin:'left'}} className='fixed top-0 h-1 bg-brand w-full'/>",One of the most impressive effects with 3 lines of code
useMotionValue Direct,Imperative animation control,"React","const x=useMotionValue(0); animate(x{100{{duration:0.5}); <motion.div style={{x}}/>",Bypasses React re-renders — use for performance-critical animations
Orchestration with delay,Choreograph multiple elements,"React","transition={{delay:0.2}} on individual elements OR delayChildren on parent variant",delay on variants relative to parent — delayChildren offsets all children
Reduced Motion Respect,Accessibility,"React","const prefersReduced=useReducedMotion(); const variants=prefersReduced?{hidden:{opacity:0}{visible:{opacity:1}}:{hidden:{opacity:0{y:20}{visible:{opacity:1{y:0}}}",Always check — WCAG 2.3.3 requires respecting prefers-reduced-motion
